ID,类别,名称,职业或类型,包含版本,说明更新版本,Wiki相对目录,卡面,创作故事,角色故事,创作背景
investigator-菲利普-钱德勒-1,调查员,菲利普 · 钱德勒,老侦探,Vol.1,v1.0,card/调查员/老侦探_菲利普-钱德勒,card/调查员/老侦探_菲利普-钱德勒/卡面.md,,card/调查员/老侦探_菲利普-钱德勒/角色故事.md,card/调查员/老侦探_菲利普-钱德勒/创作背景.md
investigator-艾琳-卡特-2,调查员,艾琳 · 卡特,职业调查员,Vol.1,v1.0,card/调查员/职业调查员_艾琳-卡特,card/调查员/职业调查员_艾琳-卡特/卡面.md,,card/调查员/职业调查员_艾琳-卡特/角色故事.md,card/调查员/职业调查员_艾琳-卡特/创作背景.md
investigator-维姬-雪莱-3,调查员,维姬 · 雪莱,研究员,Vol.1,v1.0,card/调查员/研究员_维姬-雪莱,card/调查员/研究员_维姬-雪莱/卡面.md,,card/调查员/研究员_维姬-雪莱/角色故事.md,card/调查员/研究员_维姬-雪莱/创作背景.md
investigator-约翰-4,调查员,“约翰”,流浪汉,Vol.1,v1.0,card/调查员/流浪汉_“约翰”,card/调查员/流浪汉_“约翰”/卡面.md,,card/调查员/流浪汉_“约翰”/角色故事.md,card/调查员/流浪汉_“约翰”/创作背景.md
investigator-斑点鸽-5,调查员,“斑点鸽”,赏金猎人,Vol.2,v1.0,card/调查员/赏金猎人_“斑点鸽”,card/调查员/赏金猎人_“斑点鸽”/卡面.md,,card/调查员/赏金猎人_“斑点鸽”/角色故事.md,card/调查员/赏金猎人_“斑点鸽”/创作背景.md
investigator-丹尼-达比-6,调查员,丹尼 · 达比,赌徒,Vol.1,v1.0,card/调查员/赌徒_丹尼-达比,card/调查员/赌徒_丹尼-达比/卡面.md,,card/调查员/赌徒_丹尼-达比/角色故事.md,card/调查员/赌徒_丹尼-达比/创作背景.md
investigator-罗利-西泽-7,调查员,罗利 · 西泽,苦行僧,Vol.1,v1.0,card/调查员/苦行僧_罗利-西泽,card/调查员/苦行僧_罗利-西泽/卡面.md,,card/调查员/苦行僧_罗利-西泽/角色故事.md,card/调查员/苦行僧_罗利-西泽/创作背景.md
investigator-简-艾德勒-8,调查员,简 · 艾德勒,信徒,Vol.2,v1.0,card/调查员/信徒_简-艾德勒,card/调查员/信徒_简-艾德勒/卡面.md,,card/调查员/信徒_简-艾德勒/角色故事.md,card/调查员/信徒_简-艾德勒/创作背景.md
investigator-乌鸦-9,调查员,“乌鸦”,地痞,Vol.1,v1.0,card/调查员/地痞_“乌鸦”,card/调查员/地痞_“乌鸦”/卡面.md,,card/调查员/地痞_“乌鸦”/角色故事.md,card/调查员/地痞_“乌鸦”/创作背景.md
investigator-哈米伦-修普诺斯-10,调查员,哈米伦 · 修普诺斯,催眠师,Vol.2,v1.0,card/调查员/催眠师_哈米伦-修普诺斯,card/调查员/催眠师_哈米伦-修普诺斯/卡面.md,,card/调查员/催眠师_哈米伦-修普诺斯/角色故事.md,card/调查员/催眠师_哈米伦-修普诺斯/创作背景.md
